path,kind,lang,est_sloc,role,imports_deps,referenced_by,notes
index.tsx,code,ts,17,entry_point,react-dom,none,"Bootstrap ReactDOM con StrictMode"
App.tsx,code,tsx,31,root_component,"9 componentes",index.tsx,"Componente raíz con layout principal"
components/Header.tsx,code,tsx,85,navigation,"react, useState, useEffect",App.tsx,"Nav responsive con scroll effects"
components/Hero.tsx,code,tsx,120,landing_section,react,App.tsx,"Hero section con animaciones"
components/IntroSection.tsx,code,tsx,45,content_section,react,App.tsx,"Value proposition section"
components/Services.tsx,code,tsx,350,core_business,"react, useState, Modal, Cart",App.tsx,"⭐ CORE: Catálogo servicios + carrito logic"
components/Pricing.tsx,code,tsx,180,pricing_plans,"react, useState, useRef",App.tsx,"Planes tarifarios con animaciones"
components/Process.tsx,code,tsx,95,process_info,react,App.tsx,"Metodología de trabajo"
components/Contact.tsx,code,tsx,140,lead_generation,"react, useState",App.tsx,"⭐ CORE: Form leads FormSubmit.co"
components/Footer.tsx,code,tsx,75,footer_info,react,App.tsx,"Footer con links legales"
components/InteractiveBackground.tsx,code,tsx,200,visual_effects,"react, useEffect",App.tsx,"Canvas animado background"
components/ServiceModal.tsx,code,tsx,90,modal_component,react,Services.tsx,"Modal detalles servicios"
components/ShoppingCart.tsx,code,tsx,120,ecommerce_demo,react,Services.tsx,"E-commerce cart demo"
components/LogoCloud.tsx,code,tsx,65,brand_showcase,react,missing,"Logos partners/clientes"
components/icons/Icons.tsx,code,tsx,450,icon_library,react,"25+ componentes",">Librería SVG inline custom"
index.html,config,html,227,html_base,tailwind_cdn,none,"HTML base con SEO completo + meta tags"
vite.config.ts,config,ts,33,build_config,"vite, path",none,"Build optimización + env vars"
tsconfig.json,config,json,29,typescript_config,none,none,"TS config ES2022 + JSX"
package.json,config,json,21,package_manifest,none,none,"Deps mínimas React 19 + Vite"
package-lock.json,config,json,7500,lock_file,none,none,"Lock file npm dependencies"
.gitignore,config,text,32,version_control,none,none,"Ignore patterns standard"
.env.local,config,text,unknown,environment,none,none,"Variables entorno locales"
test-a11y.js,test,js,64,accessibility_test,fs_path,none,"Script manual auditoría a11y"
README.md,doc,md,76,documentation,none,none,"Doc principal del proyecto"
public/images/chatgpt-logo.svg,asset,svg,unknown,brand_asset,none,Header,"Logo ChatGPT optimizado"
public/images/chatgpt.png,asset,png,unknown,brand_asset,none,Hero,"Imagen ChatGPT hero"
public/images/claude.png,asset,png,unknown,brand_asset,none,Hero,"Imagen Claude hero"
public/images/gemini.png,asset,png,unknown,brand_asset,none,Hero,"Imagen Gemini hero"
public/images/chatgpt-optimized.svg,asset,svg,unknown,optimized_asset,none,LogoCloud,"SVG optimizado performance"
public/images/claude-optimized.svg,asset,svg,unknown,optimized_asset,none,LogoCloud,"SVG optimizado performance"
public/images/gemini-optimized.svg,asset,svg,unknown,optimized_asset,none,LogoCloud,"SVG optimizado performance"
metadata.json,config,json,unknown,seo_metadata,none,none,"Metadata SEO estructurado"
dist/,build,unknown,generated,build_artifacts,none,none,"Build output directorio"
node_modules/,deps,unknown,generated,dependencies,none,none,"Dependencies npm directorio"
archive/DESIGN_TOKENS.md,doc,md,unknown,design_system,none,none,"ARCHIVED: Design tokens doc"
archive/revert-report.md,doc,md,unknown,maintenance,none,none,"ARCHIVED: Revert operations log"
